DATE,CLVMNACSCAB1GQES
1995-01-01,176470.4
1995-04-01,177575.9
1995-07-01,178294.7
1995-10-01,179627.9
1996-01-01,180698.7
1996-04-01,182043.8
1996-07-01,183605.7
1996-10-01,184563.1
1997-01-01,186446.1
1997-04-01,188148.1
1997-07-01,190389.1
1997-10-01,192989.9
1998-01-01,194690.9
1998-04-01,196899.0
1998-07-01,198761.2
1998-10-01,200920.6
1999-01-01,202936.8
1999-04-01,205356.6
1999-07-01,208088.7
1999-10-01,210423.1
2000-01-01,213800.3
2000-04-01,216490.6
2000-07-01,218829.0
2000-10-01,221057.9
2001-01-01,223416.2
2001-04-01,225081.4
2001-07-01,227179.2
2001-10-01,228725.2
2002-01-01,229710.4
2002-04-01,231596.4
2002-07-01,233025.1
2002-10-01,234768.9
2003-01-01,236968.0
2003-04-01,238216.7
2003-07-01,239788.6
2003-10-01,241832.6
2004-01-01,243304.0
2004-04-01,245696.0
2004-07-01,248008.5
2004-10-01,249674.8
2005-01-01,252125.5
2005-04-01,254366.4
2005-07-01,256827.0
2005-10-01,259399.0
2006-01-01,262383.6
2006-04-01,264943.6
2006-07-01,267407.2
2006-10-01,269944.4
2007-01-01,272428.9
2007-04-01,274887.6
2007-07-01,276997.2
2007-10-01,278743.0
2008-01-01,279359.4
2008-04-01,279682.6
2008-07-01,279171.5
2008-10-01,274629.1
2009-01-01,267487.8
2009-04-01,267475.8
2009-07-01,268047.5
2009-10-01,267953.1
2010-01-01,267893.4
2010-04-01,268312.0
2010-07-01,268181.7
2010-10-01,268321.9
2011-01-01,267919.3
2011-04-01,267088.1
2011-07-01,265363.2
2011-10-01,263603.5
2012-01-01,261148.8
2012-04-01,258645.4
2012-07-01,257301.3
2012-10-01,255395.4
2013-01-01,254610.0
2013-04-01,254385.3
2013-07-01,254291.8
2013-10-01,254714.4
2014-01-01,255649.9
2014-04-01,256854.9
2014-07-01,258740.9
2014-10-01,260963.9
2015-01-01,263958.4
2015-04-01,266806.8
2015-07-01,269223.6
2015-10-01,271843.3
2016-01-01,273692.5
2016-04-01,274827.9
2016-07-01,277182.2
2016-10-01,278689.4
2017-01-01,280877.6
2017-04-01,283754.8
2017-07-01,285541.3
2017-10-01,287081.3
2018-01-01,288307.2
2018-04-01,289996.3
2018-07-01,291505.5
2018-10-01,293427.3
2019-01-01,295213.8
2019-04-01,296235.9
2019-07-01,297109.8
2019-10-01,297755.0
2020-01-01,281416.4
2020-04-01,231250.4
2020-07-01,269725.7
2020-10-01,269566.6
2021-01-01,268950.2
2021-04-01,272587.0
2021-07-01,281059.5
2021-10-01,287426.3
2022-01-01,287392.5
2022-04-01,293838.9
2022-07-01,294469.2
2022-10-01,295130.3
