,CPI,GDP,INT,UNEMP
0,68,1835999,10,10
1,69,1846613,10,10
2,69,1853115,10,10
3,70,1859777,10,10
4,70,1862149,10,10
5,71,1875050,10,10
6,71,1884736,10,10
7,71,1893641,10,10
8,72,1898459,10,10
9,72,1921610,10,10
10,72,1937276,10,10
11,72,1958989,10,10
12,72,1971615,10,10
13,73,1980279,10,10
14,73,1992219,10,10
15,73,1994689,9,9
16,73,2016807,9,9
17,74,2025919,9,9
18,74,2048963,9,9
19,74,2072557,9,9
20,75,2098267,9,9
21,75,2117520,8,8
22,75,2129395,8,8
23,76,2143928,8,8
24,76,2165232,8,8
25,77,2167164,8,8
26,77,2169019,8,8
27,78,2171289,8,8
28,78,2174286,8,8
29,79,2185491,8,8
30,79,2193459,8,8
31,79,2198753,9,9
32,80,2191674,9,9
33,81,2193670,9,9
34,81,2205073,9,9
35,81,2221317,9,9
36,81,2232509,9,9
37,82,2246214,9,9
38,82,2251275,9,9
39,83,2260229,9,9
40,83,2264881,9,9
41,84,2278828,9,9
42,84,2295568,9,9
43,85,2310253,8,8
44,85,2330307,8,8
45,86,2356089,8,8
46,86,2370217,8,8
47,87,2397961,7,7
48,87,2412257,7,7
49,88,2429743,7,7
50,88,2440789,7,7
51,89,2453159,7,7
52,90,2465755,7,7
53,91,2457472,7,7
54,91,2444616,8,8
55,91,2399998,9,9
56,91,2325652,9,9
57,91,2325170,10,10
58,91,2334624,10,10
59,92,2344463,10,10
60,92,2354699,10,10
61,93,2377591,10,10
62,93,2387674,10,10
63,93,2401647,10,10
64,94,2423456,10,10
65,95,2422953,10,10
66,95,2426731,10,10
67,96,2416343,11,11
68,96,2411158,11,11
69,98,2404798,11,11
70,98,2402506,12,12
71,98,2391734,12,12
72,98,2383774,12,12
73,99,2396015,12,12
74,99,2403490,12,12
75,99,2410260,12,12
76,99,2420175,11,11
77,100,2425058,11,11
78,99,2436960,11,11
79,99,2445637,11,11
80,99,2461148,11,11
81,100,2472574,10,10
82,100,2482864,10,10
83,100,2494378,10,10
84,99,2508163,10,10
85,100,2513982,9,9
86,100,2526089,9,9
87,100,2545223,9,9
88,100,2562511,9,9
89,102,2582696,8,8
90,101,2602914,8,8
91,102,2623901,8,8
92,102,2623804,8,8
93,103,2637837,8,8
94,104,2638230,7,7
95,104,2655220,7,7
96,103,2671810,7,7
97,105,2680069,7,7
98,105,2685893,7,7
99,105,2686488,7,7
100,104,2596185,8,8
101,105,2298552,8,8
102,105,2582728,8,8
103,105,2576073,8,8
104,105,2575146,7,7
105,107,2625825,7,7
106,108,2685672,7,7
107,109,2700610,6,6
108,112,2717203,6,6
109,116,2741071,6,6
110,118,2751221,6,6
111,120,2750344,6,6
