Country, Model,  Response Variable,Independent Variables
USA,Standard Mult. Regr., GDP,"Gov. Spending, Unemployment Rate, Currency"
,Standard Mult. Regr., Currency,"GDP, Interest Rates, CPI"
,Differenced Mult. Regr., GDP,"Gov. Spending, Currency, CPI"
,Robust Mult. Regr., GDP,"Gov. Spending, Unemployment Rate, Currency"
,Robust Mult. Regr., Currency,"GDP, Interest Rates, CPI"
,Robust Differenced Mult. R., GDP,"Gov. Spending, Currency, CPI"
European Union,Standard Mult. Regr., GDP,"Gov. Spending, Currency, Interest Rates, CPI"
,Standard Mult. Regr., Currency,"GDP, Gov. Spending, Interest Rates, CPI"
,Differenced Mult. Regr., GDP,"Gov. Spending, Currency, CPI"
,Robust Mult. Regr., GDP,"Gov. Spending, Currency, Interest Rates, CPI"
,Robust Mult. Regr., Currency,"GDP, Gov. Spending, Interest Rates, CPI"
,Robust Differenced Mult. R., GDP,"Gov. Spending, Currency, CPI"
Japan,Standard Mult. Regr., GDP,"Gov. Spending, Unemployment Rate , Currency, CPI"
,Standard Mult. Regr., Currency,"GDP, Gov. Spending, Unemployment Rate, CPI "
,Differenced Mult. Regr., GDP,"Gov. Spending, Unemployment Rate, Currency, CPI"
,Robust Mult. Regr., GDP,"Gov. Spending, Currency, Unemployment Rate, CPI"
,Robust Mult. Regr., Currency,"GDP, Gov. Spending, Unemployment Rate, CPI "
,Robust Differenced Mult. R., GDP,"Currency, Unemployment Rate, CPI"
China,Standard Mult. Regr., GDP,"Gov. Spending, Currency, Interest Rates"
,Standard Mult. Regr., Currency,"GDP, Gov. Spending, Interest Rates"
,Differenced Mult. Regr., GDP,"Gov. Spending, Currency, Unemployment Rate, Interest Rates"
,Robust Mult. Regr., GDP,"Gov. Spending, Currency"
,Robust Mult. Regr., Currency,"GDP, Gov. Spending, Interest Rates"
,Robust Differenced Mult. R., GDP,None
