YEAR,SPENDING_PERCENT_OF_GDP
1970,11.1135241434195
1971,11.8892210803322
1972,12.1883526958193
1973,12.4004639476191
1974,13.6239015540992
1975,14.9997287077216
1976,14.726435233465
1977,14.685035792221
1978,14.4389675191595
1979,14.4909946540637
1980,14.6619341746859
1981,14.6813589370559
1982,14.7966961802238
1983,14.8495499043528
1984,14.6056798553259
1985,14.2773445694455
1986,14.195672377612
1987,14.1204146649921
1988,13.7069932176849
1989,13.5748170567068
1990,13.5450283669728
1991,13.5975407449258
1992,13.9953920345949
1993,14.6150848692991
1994,14.7483119048313
1995,15.079728572976
1996,15.1459373245418
1997,15.3019416593352
1998,15.6654067661838
1999,16.216773574862
2000,16.549191407008
2001,17.2289905143177
2002,17.7749067788644
2003,17.8364695899716
2004,17.7233548337375
2005,17.7438933244397
2006,17.595075361072
2007,17.6343087480996
2008,18.025030322619
2009,19.3337393097808
2010,19.2025962424431
2011,19.885399284228
2012,19.9573325085164
2013,19.854370134417
2014,19.9261773555302
2015,19.617744139153
2016,19.6572481017318
2017,19.4117955495929
2018,19.5755911714278
2019,19.9265628536314
2020,21.0320662024389
2021,21.4190126293905
